ID,_QID,_Title,_Apply,_Question,_Answer_ID,_Answer,
,SEF-04.1,Incident Response Testing,,"Is the security incident response plan tested and updated for effectiveness, as necessary, at planned intervals or upon significant organizational or environmental changes?
",,,
,SEF-05.1,Incident Response Metrics,,"Are information security incident metrics established and monitored?
",,,
,SEF-06.1,Event Triage Processes,,"Are processes, procedures, and technical measures supporting business processes to triage security-related events defined, implemented, and evaluated?
",,,
,SEF-07.1,Security Breach Notification,,"Are processes, procedures, and technical measures for security breach notifications defined and implemented?
",,,
,SEF-07.2,,,"Are security breaches and assumed security breaches reported (including any relevant supply chain breaches) as per applicable SLAs, laws, and regulations?
",,,
,SEF-08.1,Points of Contact Maintenance,,"Are points of contact maintained for applicable regulation authorities, national and local law enforcement, and other legal jurisdictional authorities?
",,,
,STA-01.1,SSRM Policy and Procedures,,"Are policies and procedures implementing the shared security responsibility model (SSRM) within the organization established, documented, approved, communicated, applied, evaluated, and maintained?
",,,
,STA-01.2,,,"Are the policies and procedures that apply the SSRM reviewed and updated annually?
",,,
,STA-02.1,SSRM Supply Chain,,"Is the SSRM applied, documented, implemented, and managed throughout the supply chain for the cloud service offering?
",,,
,STA-03.1,SSRM Guidance,,"Is the CSC given SSRM guidance detailing information about SSRM applicability throughout the supply chain?
",,,
,STA-04.1,SSRM Control Ownership,,"Is the shared ownership and applicability of all CSA CCM controls delineated according to the SSRM for the cloud service offering?
",,,
,STA-05.1,SSRM Documentation Review,,"Is SSRM documentation for all cloud services the organization uses reviewed and validated?
",,,
,STA-06.1,SSRM Control Implementation,,"Are the portions of the SSRM the organization is responsible for implemented, operated, audited, or assessed?
",,,
,STA-07.1,Supply Chain Inventory,,"Is an inventory of all supply chain relationships developed and maintained?
",,,
,STA-08.1,Supply Chain Risk Management,,"Are risk factors associated with all organizations within the supply chain periodically reviewed by CSPs?
",,,
,STA-09.1,Primary Service and Contractual Agreement,,"Do service agreements between CSPs and CSCs (tenants) incorporate at least the following mutually agreed upon provisions and/or terms? • Scope, characteristics, and location of business relationship and services offered • Information security requirements (including SSRM) • Change management process • Logging and monitoring capability • Incident management and communication procedures • Right to audit and third-party assessment • Service termination • Interoperability and portability requirements • Data privacy ",,,
,STA-10.1,Supply Chain Agreement Review,,"Are supply chain agreements between CSPs and CSCs reviewed at least annually?
",,,
,STA-11.1,Internal Compliance Testing,,"Is there a process for conducting internal assessments at least annually to confirm the conformance and effectiveness of standards, policies, procedures, and SLA activities?
",,,
,STA-12.1,Supply Chain Service Agreement Compliance,,"Are policies that require all supply chain CSPs to comply with information security, confidentiality, access control, privacy, audit, personnel policy, and service level requirements and standards implemented?
",,,
,STA-13.1,Supply Chain Governance Review,,"Are supply chain partner IT governance policies and procedures reviewed periodically?
",,,
,STA-14.1,Supply Chain Data Security Assessment,,"Is a process to conduct periodic security assessments for all supply chain organizations defined and implemented?
",,,
,TVM-01.1,Threat and Vulnerability Management Policy and Procedures,,"Are policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained to identify, report, and prioritize the remediation of vulnerabilities to protect systems against vulnerability exploitation?
",,,
,TVM-01.2,,,"Are threat and vulnerability management policies and procedures reviewed and updated at least annually?
",,,
,TVM-02.1,Malware Protection Policy and Procedures,,"Are policies and procedures to protect against malware on managed assets established, documented, approved, communicated, applied, evaluated, and maintained?
",,,
,TVM-02.2,,,"Are asset management and malware protection policies and procedures reviewed and updated at least annually?
",,,
,TVM-03.1,Vulnerability Remediation Schedule,,"Are processes, procedures, and technical measures defined, implemented, and evaluated to enable scheduled and emergency responses to vulnerability identifications (based on the identified risk)?
",,,
,TVM-04.1,Detection Updates,,"Are processes, procedures, and technical measures defined, implemented, and evaluated to update detection tools, threat signatures, and compromise indicators weekly (or more frequent) basis?
",,,
,TVM-05.1,External Library Vulnerabilities,,"Are processes, procedures, and technical measures defined, implemented, and evaluated to identify updates for applications that use third-party or open-source libraries (according to the organization's vulnerability management policy)?
",,,
,TVM-06.1,Penetration Testing,,"Are processes, procedures, and technical measures defined, implemented, and evaluated for periodic, independent, third-party penetration testing?
",,,
,TVM-07.1,Vulnerability Identification,,"Are processes, procedures, and technical measures defined, implemented, and evaluated for vulnerability detection on organizationally managed assets at least monthly?
",,,
,TVM-08.1,Vulnerability Prioritization,,"Is vulnerability remediation prioritized using a risk-based model from an industry-recognized framework?
",,,
,TVM-09.1,Vulnerability Management Reporting,,"Is a process defined and implemented to track and report vulnerability identification and remediation activities that include stakeholder notification?
",,,
,TVM-10.1,Vulnerability Management Metrics,,"Are metrics for vulnerability identification and remediation established, monitored, and reported at defined intervals?
",,,
,UEM-01.1,Endpoint Devices Policy and Procedures,,"Are policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained for all endpoints?
",,,
,UEM-01.2,,,"Are universal endpoint management policies and procedures reviewed and updated at least annually?
",,,
,UEM-02.1,Application and Service Approval,,"Is there a defined, documented, applicable and evaluated list containing approved services, applications, and the sources of applications (stores) acceptable for use by endpoints when accessing or storing organization-managed data?
",,,
,UEM-03.1,Compatibility,,"Is a process defined and implemented to validate endpoint device compatibility with operating systems and applications?
",,,
,UEM-04.1,Endpoint Inventory,,"Is an inventory of all endpoints used and maintained to store and access company data?
",,,
,UEM-05.1,Endpoint Management,,"Are processes, procedures, and technical measures defined, implemented and evaluated, to enforce policies and controls for all endpoints permitted to access systems and/or store, transmit, or process organizational data?
",,,
,UEM-06.1,Automatic Lock Screen,,"Are all relevant interactive-use endpoints configured to require an automatic lock screen?
",,,
,UEM-07.1,Operating Systems,,"Are changes to endpoint operating systems, patch levels, and/or applications managed through the organizational change management process?
",,,
,UEM-08.1,Storage Encryption,,"Is information protected from unauthorized disclosure on managed endpoints with storage encryption?
",,,
,UEM-09.1,Anti-Malware Detection and Prevention,,"Are anti-malware detection and prevention technology services configured on managed endpoints?
",,,
,UEM-10.1,Software Firewall,,"Are software firewalls configured on managed endpoints?
",,,
,UEM-11.1,Data Loss Prevention,,"Are managed endpoints configured with data loss prevention (DLP) technologies and rules per a risk assessment?
",,,
,UEM-12.1,Remote Locate,,"Are remote geolocation capabilities enabled for all managed mobile endpoints?
",,,
,UEM-13.1,Remote Wipe,,"Are processes, procedures, and technical measures defined, implemented, and evaluated to enable remote company data deletion on managed endpoint devices?
",,,
,UEM-14.1,Third-Party Endpoint Security Posture,,"Are processes, procedures, and technical and/or contractual measures defined, implemented, and evaluated to maintain proper security of third-party endpoints with access to organizational assets?
","1","Hello",
