ID,_QID,_Title,_Apply,_Question,_Answer,_Answer_ID,
193,LOG-02.1,Audit Logs Protection,,"Are processes, procedures, and technical measures defined, implemented, and evaluated to ensure audit log security and retention?
",This is conducted while following the Adoption Plan defined during the Consul Accelerator Program.,,
194,LOG-03.1,Security Monitoring and Alerting,,"Are security-related events identified and monitored within applications and the underlying infrastructure?
",This is conducted while following the Adoption Plan defined during the Consul Accelerator Program.,,
195,LOG-03.2,,,"Is a system defined and implemented to generate alerts to responsible stakeholders based on security events and their corresponding metrics?
",This is conducted while following the Adoption Plan defined during the Consul Accelerator Program.,,
196,LOG-04.1,Audit Logs Access and Accountability,,"Is access to audit logs restricted to authorized personnel, and are records maintained to provide unique access accountability?
",This is conducted while following the Adoption Plan defined during the Consul Accelerator Program.,,
197,LOG-05.1,Audit Logs Monitoring and Response,,"Are security audit logs monitored to detect activity outside of typical or expected patterns?
",This is conducted while following the Adoption Plan defined during the Consul Accelerator Program.,,
198,LOG-05.2,,,"Is a process established and followed to review and take appropriate and timely actions on detected anomalies?
",This is conducted while following the Adoption Plan defined during the Consul Accelerator Program.,,
199,LOG-06.1,Clock Synchronization,,"Is a reliable time source being used across all relevant information processing systems?
",This is conducted while following the Adoption Plan defined during the Consul Accelerator Program.,,
200,LOG-07.1,Logging Scope,,"Are logging requirements for information meta/data system events established, documented, and implemented?
",This is conducted while following the Adoption Plan defined during the Consul Accelerator Program.,,
201,LOG-07.2,,,"Is the scope reviewed and updated at least annually, or whenever there is a change in the threat environment?
",This is conducted while following the Adoption Plan defined during the Consul Accelerator Program.,,
202,LOG-08.1,Log Records,,"Are audit records generated, and do they contain relevant security information?
",This is conducted while following the Adoption Plan defined during the Consul Accelerator Program.,,
203,LOG-09.1,Log Protection,,"Does the information system protect audit records from unauthorized access, modification, and deletion?
",Snapshots of Consul data are encrypted and transferred to a separate cloud account which the account used for write cannot delete.,,
204,LOG-10.1,Encryption Monitoring and Reporting,,"Are monitoring and internal reporting capabilities established to report on cryptographic operations, encryption, and key management policies, processes, procedures, and controls?
",This is conducted while following the Adoption Plan defined during the Consul Accelerator Program.,,
205,LOG-11.1,Transaction/Activity Logging,,"Are key lifecycle management events logged and monitored to enable auditing and reporting on cryptographic keys' usage?
",This is conducted while following the Adoption Plan defined during the Consul Accelerator Program.,,
206,LOG-12.1,Access Control Logs,,"Is physical access logged and monitored using an auditable access control system?
",,,
207,LOG-13.1,Failures and Anomalies Reporting,,"Are processes and technical measures for reporting monitoring system anomalies and failures defined, implemented, and evaluated?
",,,
208,LOG-13.2,,,"Are accountable parties immediately notified about anomalies and failures?
","QUESTION: When ACL is turned off, the SOC is notified",,
209,SEF-01.1,Security Incident Management Policy and Procedures,,"Are policies and procedures for security incident management, e-discovery, and cloud forensics established, documented, approved, communicated, applied, evaluated, and maintained?
",This is conducted while following the Adoption Plan defined during the Consul Accelerator Program.,,
210,SEF-01.2,,,"Are policies and procedures reviewed and updated annually?
",This is conducted while following the Adoption Plan defined during the Consul Accelerator Program.,,
211,SEF-02.1,Service Management Policy and Procedures,,"Are policies and procedures for timely management of security incidents established, documented, approved, communicated, applied, evaluated, and maintained?
",This is conducted while following the Adoption Plan defined during the Consul Accelerator Program.,,
212,SEF-02.2,,,"Are policies and procedures for timely management of security incidents reviewed and updated at least annually?
",This is conducted while following the Adoption Plan defined during the Consul Accelerator Program.,,
213,SEF-03.1,Incident Response Plans,,"Is a security incident response plan that includes relevant internal departments, impacted CSCs, and other business-critical relationships (such as supply-chain) established, documented, approved, communicated, applied, evaluated, and maintained?
",This is conducted while following the Adoption Plan defined during the Consul Accelerator Program.,,
214,SEF-04.1,Incident Response Testing,,"Is the security incident response plan tested and updated for effectiveness, as necessary, at planned intervals or upon significant organizational or environmental changes?
",,,
215,SEF-05.1,Incident Response Metrics,,"Are information security incident metrics established and monitored?
",,,
216,SEF-06.1,Event Triage Processes,,"Are processes, procedures, and technical measures supporting business processes to triage security-related events defined, implemented, and evaluated?
",,,
217,SEF-07.1,Security Breach Notification,,"Are processes, procedures, and technical measures for security breach notifications defined and implemented?
",,,
218,SEF-07.2,,,"Are security breaches and assumed security breaches reported (including any relevant supply chain breaches) as per applicable SLAs, laws, and regulations?
",,,
219,SEF-08.1,Points of Contact Maintenance,,"Are points of contact maintained for applicable regulation authorities, national and local law enforcement, and other legal jurisdictional authorities?
",,,
220,STA-01.1,SSRM Policy and Procedures,,"Are policies and procedures implementing the shared security responsibility model (SSRM) within the organization established, documented, approved, communicated, applied, evaluated, and maintained?
",,,
221,STA-01.2,,,"Are the policies and procedures that apply the SSRM reviewed and updated annually?
",,,
222,STA-02.1,SSRM Supply Chain,,"Is the SSRM applied, documented, implemented, and managed throughout the supply chain for the cloud service offering?
",,,
223,STA-03.1,SSRM Guidance,,"Is the CSC given SSRM guidance detailing information about SSRM applicability throughout the supply chain?
",,,
224,STA-04.1,SSRM Control Ownership,,"Is the shared ownership and applicability of all CSA CCM controls delineated according to the SSRM for the cloud service offering?
",,,
225,STA-05.1,SSRM Documentation Review,,"Is SSRM documentation for all cloud services the organization uses reviewed and validated?
",,,
226,STA-06.1,SSRM Control Implementation,,"Are the portions of the SSRM the organization is responsible for implemented, operated, audited, or assessed?
",,,
227,STA-07.1,Supply Chain Inventory,,"Is an inventory of all supply chain relationships developed and maintained?
",,,
228,STA-08.1,Supply Chain Risk Management,,"Are risk factors associated with all organizations within the supply chain periodically reviewed by CSPs?
",,,
229,STA-09.1,Primary Service and Contractual Agreement,,"Do service agreements between CSPs and CSCs (tenants) incorporate at least the following mutually agreed upon provisions and/or terms? • Scope, characteristics, and location of business relationship and services offered • Information security requirements (including SSRM) • Change management process • Logging and monitoring capability • Incident management and communication procedures • Right to audit and third-party assessment • Service termination • Interoperability and portability requirements • Data privacy ",,,
230,STA-10.1,Supply Chain Agreement Review,,"Are supply chain agreements between CSPs and CSCs reviewed at least annually?
",,,
231,STA-11.1,Internal Compliance Testing,,"Is there a process for conducting internal assessments at least annually to confirm the conformance and effectiveness of standards, policies, procedures, and SLA activities?
",,,
232,STA-12.1,Supply Chain Service Agreement Compliance,,"Are policies that require all supply chain CSPs to comply with information security, confidentiality, access control, privacy, audit, personnel policy, and service level requirements and standards implemented?
",,,
233,STA-13.1,Supply Chain Governance Review,,"Are supply chain partner IT governance policies and procedures reviewed periodically?
",,,
234,STA-14.1,Supply Chain Data Security Assessment,,"Is a process to conduct periodic security assessments for all supply chain organizations defined and implemented?
",,,
235,TVM-01.1,Threat and Vulnerability Management Policy and Procedures,,"Are policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained to identify, report, and prioritize the remediation of vulnerabilities to protect systems against vulnerability exploitation?
",,,
236,TVM-01.2,,,"Are threat and vulnerability management policies and procedures reviewed and updated at least annually?
",,,
237,TVM-02.1,Malware Protection Policy and Procedures,,"Are policies and procedures to protect against malware on managed assets established, documented, approved, communicated, applied, evaluated, and maintained?
",,,
238,TVM-02.2,,,"Are asset management and malware protection policies and procedures reviewed and updated at least annually?
",,,
239,TVM-03.1,Vulnerability Remediation Schedule,,"Are processes, procedures, and technical measures defined, implemented, and evaluated to enable scheduled and emergency responses to vulnerability identifications (based on the identified risk)?
",,,
240,TVM-04.1,Detection Updates,,"Are processes, procedures, and technical measures defined, implemented, and evaluated to update detection tools, threat signatures, and compromise indicators weekly (or more frequent) basis?
",,,
241,TVM-05.1,External Library Vulnerabilities,,"Are processes, procedures, and technical measures defined, implemented, and evaluated to identify updates for applications that use third-party or open-source libraries (according to the organization's vulnerability management policy)?
",,,
242,TVM-06.1,Penetration Testing,,"Are processes, procedures, and technical measures defined, implemented, and evaluated for periodic, independent, third-party penetration testing?
",,,
243,TVM-07.1,Vulnerability Identification,,"Are processes, procedures, and technical measures defined, implemented, and evaluated for vulnerability detection on organizationally managed assets at least monthly?
",,,
244,TVM-08.1,Vulnerability Prioritization,,"Is vulnerability remediation prioritized using a risk-based model from an industry-recognized framework?
",,,
245,TVM-09.1,Vulnerability Management Reporting,,"Is a process defined and implemented to track and report vulnerability identification and remediation activities that include stakeholder notification?
",,,
246,TVM-10.1,Vulnerability Management Metrics,,"Are metrics for vulnerability identification and remediation established, monitored, and reported at defined intervals?
",,,
247,UEM-01.1,Endpoint Devices Policy and Procedures,,"Are policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained for all endpoints?
",,,
248,UEM-01.2,,,"Are universal endpoint management policies and procedures reviewed and updated at least annually?
",,,
249,UEM-02.1,Application and Service Approval,,"Is there a defined, documented, applicable and evaluated list containing approved services, applications, and the sources of applications (stores) acceptable for use by endpoints when accessing or storing organization-managed data?
",,,
250,UEM-03.1,Compatibility,,"Is a process defined and implemented to validate endpoint device compatibility with operating systems and applications?
",,,
251,UEM-04.1,Endpoint Inventory,,"Is an inventory of all endpoints used and maintained to store and access company data?
",We installed Consul to maintain a Service Catalog which associates identities with each IP address used.,,
252,UEM-05.1,Endpoint Management,,"Are processes, procedures, and technical measures defined, implemented and evaluated, to enforce policies and controls for all endpoints permitted to access systems and/or store, transmit, or process organizational data?
",,,
253,UEM-06.1,Automatic Lock Screen,,"Are all relevant interactive-use endpoints configured to require an automatic lock screen?
",,,
254,UEM-07.1,Operating Systems,,"Are changes to endpoint operating systems, patch levels, and/or applications managed through the organizational change management process?
","We installed Consul Enterprise to automatically upgrade agent versions at the same time (by creating new instances and switching en masse), to avoid issues of partial implementations.",,
255,UEM-08.1,Storage Encryption,,"Is information protected from unauthorized disclosure on managed endpoints with storage encryption?
",,,
256,UEM-09.1,Anti-Malware Detection and Prevention,,"Are anti-malware detection and prevention technology services configured on managed endpoints?
",,,
257,UEM-10.1,Software Firewall,,"Are software firewalls configured on managed endpoints?
",,,
258,UEM-11.1,Data Loss Prevention,,"Are managed endpoints configured with data loss prevention (DLP) technologies and rules per a risk assessment?
",,,
259,UEM-12.1,Remote Locate,,"Are remote geolocation capabilities enabled for all managed mobile endpoints?
",,,
260,UEM-13.1,Remote Wipe,,"Are processes, procedures, and technical measures defined, implemented, and evaluated to enable remote company data deletion on managed endpoint devices?
",,,
261,UEM-14.1,Third-Party Endpoint Security Posture,,"Are processes, procedures, and technical and/or contractual measures defined, implemented, and evaluated to maintain proper security of third-party endpoints with access to organizational assets?
",,,
